Name,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Zamir White,890981,17,70,4.1,22,1,0,0,0,0,0,0,35,1
Isaiah Spiller,889238,18,41,2.3,11,0,0,3,3,13,4.3,0,51,0
Avery Williams,885038,22,109,5,21,1,1,13,14,61,4.7,0,141,0
Pierre Strong Jr.,883357,10,100,10,44,3,1,7,7,42,6,0,47,0
Trey Sermon,881497,2,19,9.5,14,0,0,0,0,0,0,0,5,1
Hassan Haskins,878052,25,93,3.7,12,0,0,11,12,57,5.2,0,146,1
Gary Brightwell,869718,31,141,4.5,25,1,1,5,8,39,7.8,0,87,1
Chris Evans,868222,0,0,0,0,0,0,3,4,38,12.7,1,17,1
Brian Robinson Jr.,856144,205,797,3.9,24,2,2,9,12,60,6.7,1,351,1
Dameon Pierce,847747,220,939,4.3,75,13,4,30,39,165,5.5,1,508,1
Justin Jackson,845278,42,170,4,27,1,1,12,19,101,8.4,1,187,1
Rico Dowdle,828334,0,0,0,0,0,0,0,0,0,0,0,1,1
Deon Jackson,825000,68,236,3.5,17,0,1,30,34,209,7,1,246,1
Tyler Allgeier,788472,210,1035,4.9,44,12,3,16,17,139,8.7,1,497,0
Snoop Conner,786567,12,42,3.5,8,0,1,0,0,0,0,0,34,0
Khalil Herbert,754899,129,731,5.7,63,11,4,9,12,57,6.3,1,301,0
Keaontay Ingram,747647,27,60,2.2,13,0,1,4,5,21,5.3,0,103,0
Trestan Ebner,746484,24,54,2.3,11,0,0,2,8,8,4,0,78,0
Zander Horvath,724253,4,8,2,3,0,0,5,8,8,1.6,2,74,0
Jerome Ford,709148,8,12,1.5,9,0,0,0,0,0,0,0,14,0
Jaylen Warren,709000,77,379,4.9,31,4,1,28,33,214,7.6,0,342,1
Jordan Mason,708333,43,258,6,55,4,1,0,0,0,0,0,82,1
Latavius Murray,696111,171,760,4.4,52,9,6,27,35,132,4.9,0,447,1
Christian McCaffrey,690000,244,1139,4.7,49,14,8,85,108,741,8.7,5,777,1
Kyren Williams,660380,35,139,4,17,0,0,9,12,76,8.4,0,141,0
Raheem Blackshear,626667,23,77,3.3,16,0,3,10,12,93,9.3,0,79,0
Ty Chandler,611656,6,20,3.3,10,0,0,0,0,0,0,0,12,0
Elijah Mitchell,603672,45,279,6.2,37,2,2,3,4,7,2.3,0,80,1
James Robinson,546944,110,425,3.9,50,8,3,11,14,51,4.6,2,272,0
Kevin Harris,543751,18,52,2.9,14,0,1,0,0,0,0,0,53,0
Zack Moss,543750,93,456,4.9,43,5,1,11,13,39,3.5,0,249,0
Caleb Huntley,502500,76,366,4.8,30,3,1,2,2,3,1.5,0,120,1
Malik Davis,430833,38,161,4.2,23,2,1,6,7,63,10.5,0,78,0
Zonovan Knight,430833,85,300,3.5,48,3,1,13,14,100,7.7,0,198,0
Corey Clement,397778,15,55,3.7,12,0,1,5,7,54,10.8,0,72,0
Darrynton Evans,348056,14,64,4.6,21,1,0,1,1,33,33,0,47,0
Ronnie Rivers,274167,9,21,2.3,5,0,0,5,5,29,5.8,0,24,0
Royce Freeman,230000,41,117,2.9,11,0,0,6,8,33,5.5,0,106,0
Tevin Coleman,203722,12,26,2.2,14,0,1,3,3,44,14.7,1,31,0
Spencer Brown,200000,9,43,4.8,7,0,0,2,4,10,5,0,31,0
David Johnson,198889,12,24,2,5,0,0,4,4,47,11.8,0,50,0
Eno Benjamin,198889,77,313,4.1,45,3,2,25,34,193,7.7,0,335,0
Malcolm Brown,198889,18,81,4.5,23,1,1,5,6,37,7.4,0,85,1
Larry Rountree III,171999,13,19,1.5,5,0,0,2,2,14,7,0,21,0
Julius Chestnut,156667,9,12,1.3,5,0,0,3,3,41,13.7,0,29,0
Jonathan Ward,99444,5,25,5,12,0,0,2,3,7,3.5,0,10,0
J.J. Taylor,80500,10,9,0.9,5,0,0,1,1,8,8,0,17,0
Tyler Badie,78333,1,0,0,0,0,0,1,1,24,24,1,9,0
Reggie Bonnafon,49722,3,8,2.7,5,0,0,0,0,0,0,0,3,0
Jaret Patterson,45833,17,78,4.6,14,0,0,0,1,0,0,0,33,0
