Name,Year,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Ezekiel Elliott,2022,18220000,231,876,3.8,27,5,12,17,23,92,5.4,0,558,1
Dalvin Cook,2022,12001272,264,1173,4.4,81,14,8,39,56,295,7.6,2,841,0
Joe Mixon,2022,11420588,212,826,3.9,40,7,7,60,75,441,7.4,2,624,1
Derrick Henry,2022,9367647,349,1538,4.4,56,20,13,33,41,398,12.1,0,648,1
Saquon Barkley,2022,7217000,295,1312,4.4,68,16,10,57,76,338,5.9,0,856,1
Austin Ekeler,2022,7000000,204,915,4.5,72,10,13,107,127,722,6.7,5,734,0
Kareem Hunt,2022,6250000,123,468,3.8,24,2,3,35,44,210,6,1,492,0
Alvin Kamara,2022,6128000,223,897,4,27,3,2,57,77,490,8.6,2,642,1
Aaron Jones,2022,5948000,213,1121,5.3,36,10,2,59,72,395,6.7,5,630,0
Rashaad Penny,2022,5630000,57,346,6.1,41,9,2,4,5,16,4,0,170,1
Nick Chubb,2022,5213059,302,1525,5,41,18,12,27,37,239,8.9,1,660,1
Gus Edwards,2022,4500000,87,433,5,37,4,3,0,2,0,0,0,159,1
Jamaal Williams,2022,4375000,262,1066,4.1,58,10,17,12,16,73,6.1,0,459,0
James Conner,2022,3975000,183,782,4.3,23,3,7,46,58,300,6.5,1,663,1
Leonard Fournette,2022,3970588,189,668,3.5,23,1,3,73,83,523,7.2,3,689,1
Josh Jacobs,2022,3796990,340,1653,4.9,86,14,12,53,64,400,7.5,0,821,1
David Montgomery,2022,3051545,201,801,4,28,2,5,34,40,316,9.3,1,629,1
Najee Harris,2022,2965328,272,1034,3.8,36,2,7,41,53,229,5.6,3,763,0
Clyde Edwards-Helaire,2022,2951339,71,302,4.3,52,5,3,17,23,151,8.9,3,224,0
Devin Singletary,2022,2798956,178,822,4.6,33,7,5,38,52,280,7.4,1,709,0
Myles Gaskin,2022,2561777,10,26,2.6,10,0,0,4,6,28,7,0,39,1
Cordarrelle Patterson,2022,2500000,144,695,4.8,40,6,8,21,31,122,5.8,0,382,1
Rex Burkhead,2022,2476471,26,80,3.1,9,0,0,37,51,204,5.5,1,251,0
D'Andre Swift,2022,2328796,99,542,5.5,50,10,5,48,70,389,8.1,3,393,1
Jonathan Taylor,2022,2135224,192,861,4.5,66,8,4,28,40,143,5.1,0,524,1
Brandon Bolden,2022,2130000,17,66,3.9,12,0,0,10,10,62,6.2,1,81,1
Raheem Mostert,2022,2113235,181,891,4.9,67,9,3,31,42,202,6.5,2,552,1
Mike Boone,2022,2050000,24,102,4.3,18,0,0,9,15,96,10.7,0,119,0
Nyheim Hines,2022,2045833,24,33,1.4,9,0,1,30,37,241,8,1,208,0
Javonte Williams,2022,2014944,47,204,4.3,17,0,0,16,22,76,4.8,0,142,0
D'Onta Foreman,2022,2000000,203,914,4.5,60,12,5,5,9,26,5.2,0,349,1
J.D. McKissic,2022,1910000,22,95,4.3,33,2,0,27,40,173,6.4,0,221,1
